For,0.000138
Speaker THD Value @775Hz,0.000097
End,0.000017
For,0.000114
Speaker THD Value @800Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @825Hz,0.000097
End,0.000016
For,0.000114
Speaker THD Value @850Hz,0.000097
End,0.000016
For,0.000114
Speaker THD Value @875Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @900Hz,0.000097
End,0.000016
For,0.000113
Speaker THD Value @925Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @950Hz,0.000097
End,0.000016
For,0.000113
Speaker THD Value @975Hz,0.000096
End,0.000017
For,0.000114
Speaker THD Value @1000Hz,0.000097
End,0.000016
For,0.000113
Speaker THD Value @1030Hz,0.000097
End,0.000016
For,0.000113
Speaker THD Value @1060Hz,0.000104
End,0.000017
For,0.000113
Speaker THD Value @1090Hz,0.000097
End,0.000016
For,0.000113
Speaker THD Value @1120Hz,0.000096
End,0.000017
For,0.000113
Speaker THD Value @1150Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @1180Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @1220Hz,0.000096
End,0.000016
For,0.000116
Speaker THD Value @1250Hz,0.000154
End,0.000025
For,0.00017
Speaker THD Value @1280Hz,0.000156
End,0.000022
For,0.000181
Speaker THD Value @1320Hz,0.000134
End,0.000017
For,0.000123
Speaker THD Value @1360Hz,0.000164
End,0.000022
For,0.00014
Speaker THD Value @1400Hz,0.000097
End,0.000016
For,0.000138
Speaker THD Value @1450Hz,0.000121
End,0.000019
For,0.00015
Speaker THD Value @1500Hz,0.000138
End,0.000024
For,0.000114
Speaker THD Value @1550Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @1600Hz,0.000097
End,0.000016
For,0.000113
Speaker THD Value @1650Hz,0.000097
End,0.000016
For,0.000114
Speaker THD Value @1700Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @1750Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @1800Hz,0.000096
